parental_rnai,parental_treatment,treatment,plate,worm,set_up_date,death_date
Raga,PDark,Light,4,1,16-Apr,NA
Raga,PDark,Light,4,2,16-Apr,NA
Raga,PDark,Light,4,3,16-Apr,NA
Raga,PDark,Light,4,4,16-Apr,NA
Raga,PDark,Light,4,5,16-Apr,NA
Raga,PDark,Light,4,6,16-Apr,NA
Raga,PDark,Light,4,7,16-Apr,NA
Raga,PDark,Light,4,8,16-Apr,NA
Raga,PDark,Light,4,9,16-Apr,NA
Raga,PDark,Light,4,10,16-Apr,NA
ev,pdark,dark,4,5,16-Apr,08-May
ev,pdark,dark,4,6,16-Apr,11-May
ev,pdark,dark,4,7,16-Apr,12-May
ev,pdark,dark,4,8,16-Apr,13-May
ev,pdark,light,4,5,16-Apr,23-Apr
ev,pdark,light,4,6,16-Apr,23-Apr
ev,pdark,light,4,7,16-Apr,24-Apr
ev,pdark,light,4,8,16-Apr,24-Apr
ev,pdark,light,4,9,16-Apr,24-Apr
ev,plight,dark,4,1,16-Apr,28-Apr
ev,plight,dark,4,2,16-Apr,30-Apr
ev,plight,dark,4,3,16-Apr,30-Apr
ev,plight,dark,4,4,16-Apr,07-May
ev,plight,dark,4,5,16-Apr,09-May
ev,plight,dark,4,6,16-Apr,10-May
ev,plight,dark,4,7,16-Apr,10-May
ev,plight,dark,4,8,16-Apr,11-May
ev,plight,dark,4,9,16-Apr,13-May
ev,plight,light,4,3,16-Apr,23-Apr
ev,plight,light,4,4,16-Apr,23-Apr
ev,plight,light,4,6,16-Apr,24-Apr
ev,plight,light,4,7,16-Apr,24-Apr
ev,plight,light,4,8,16-Apr,24-Apr
ev,plight,light,4,9,16-Apr,24-Apr
ev,plight,light,4,10,16-Apr,24-Apr
raga,plight,dark,4,2,16-Apr,07-May
raga,plight,dark,4,3,16-Apr,07-May
raga,plight,dark,4,4,16-Apr,08-May
raga,plight,dark,4,5,16-Apr,08-May
raga,plight,dark,4,6,16-Apr,08-May
raga,plight,dark,4,7,16-Apr,09-May
raga,plight,dark,4,8,16-Apr,10-May
raga,plight,light,4,1,16-Apr,23-Apr
EV,PLight,Dark,4,10,16-Apr,NA
raga,plight,light,4,2,16-Apr,23-Apr
raga,plight,light,4,3,16-Apr,23-Apr
raga,plight,light,4,4,16-Apr,24-Apr
raga,plight,light,4,5,16-Apr,24-Apr
raga,plight,light,4,6,16-Apr,24-Apr
raga,plight,light,4,7,16-Apr,25-Apr
EV,PLight,Light,4,1,16-Apr,18-Apr
EV,PLight,Light,4,2,16-Apr,22-Apr
EV,PLight,Light,4,5,16-Apr,23-Apr
Raga,PLight,Dark,4,1,16-Apr,27-Apr
Raga,PLight,Dark,4,9,16-Apr,NA
Raga,PLight,Dark,4,10,16-Apr,NA
Raga,PLight,Light,4,8,16-Apr,NA
Raga,PLight,Light,4,9,16-Apr,NA
Raga,PLight,Light,4,10,16-Apr,NA
EV,PDark,Dark,3,1,07-Mar,15-Mar
EV,PDark,Light,3,7,07-Mar,NA
EV,PDark,Light,3,8,07-Mar,NA
EV,PDark,Light,3,9,07-Mar,NA
EV,PDark,Light,3,10,07-Mar,NA
Raga,PDark,Light,3,1,07-Mar,11-Mar
EV,PLight,Dark,3,2,08-Mar,21-Mar
EV,PLight,Dark,3,5,08-Mar,25-Mar
EV,PLight,Dark,3,10,08-Mar,NA
EV,PLight,Light,3,10,08-Mar,NA
Raga,PLight,Dark,3,7,08-Mar,NA
Raga,PLight,Dark,3,8,08-Mar,NA
Raga,PLight,Dark,3,9,08-Mar,NA
Raga,PLight,Dark,3,10,08-Mar,NA
ev,pdark,dark,3,2,07-Mar,18-Mar
ev,pdark,dark,3,3,07-Mar,19-Mar
ev,pdark,dark,3,4,07-Mar,19-Mar
ev,pdark,dark,3,5,07-Mar,20-Mar
ev,pdark,dark,3,6,07-Mar,22-Mar
ev,pdark,dark,3,7,07-Mar,25-Mar
ev,pdark,dark,3,8,07-Mar,26-Mar
ev,pdark,dark,3,9,07-Mar,27-Mar
ev,pdark,dark,3,10,07-Mar,27-Mar
ev,pdark,light,3,1,07-Mar,13-Mar
ev,pdark,light,3,2,07-Mar,14-Mar
ev,pdark,light,3,3,07-Mar,14-Mar
ev,pdark,light,3,4,07-Mar,14-Mar
ev,pdark,light,3,5,07-Mar,14-Mar
ev,pdark,light,3,6,07-Mar,15-Mar
raga,pdark,dark,3,1,07-Mar,21-Mar
raga,pdark,dark,3,2,07-Mar,23-Mar
raga,pdark,dark,3,3,07-Mar,23-Mar
raga,pdark,dark,3,4,07-Mar,25-Mar
raga,pdark,dark,3,5,07-Mar,27-Mar
raga,pdark,dark,3,6,07-Mar,27-Mar
raga,pdark,dark,3,7,07-Mar,27-Mar
raga,pdark,dark,3,8,07-Mar,27-Mar
raga,pdark,dark,3,9,07-Mar,28-Mar
raga,pdark,dark,3,10,07-Mar,28-Mar
raga,pdark,light,3,2,07-Mar,14-Mar
raga,pdark,light,3,3,07-Mar,14-Mar
raga,pdark,light,3,4,07-Mar,15-Mar
raga,pdark,light,3,5,07-Mar,15-Mar
raga,pdark,light,3,6,07-Mar,15-Mar
raga,pdark,light,3,7,07-Mar,15-Mar
raga,pdark,light,3,8,07-Mar,15-Mar
raga,pdark,light,3,9,07-Mar,15-Mar
raga,pdark,light,3,10,07-Mar,15-Mar
ev,plight,dark,3,1,08-Mar,17-Mar
ev,plight,dark,3,3,08-Mar,23-Mar
ev,plight,dark,3,4,08-Mar,25-Mar
ev,plight,dark,3,6,08-Mar,27-Mar
ev,plight,dark,3,7,08-Mar,28-Mar
ev,plight,dark,3,8,08-Mar,28-Mar
ev,plight,dark,3,9,08-Mar,29-Mar
ev,plight,light,3,1,08-Mar,13-Mar
ev,plight,light,3,2,08-Mar,14-Mar
ev,plight,light,3,3,08-Mar,14-Mar
ev,plight,light,3,4,08-Mar,14-Mar
ev,plight,light,3,5,08-Mar,14-Mar
ev,plight,light,3,6,08-Mar,14-Mar
ev,plight,light,3,7,08-Mar,14-Mar
