parental_rnai,parental_treatment,treatment,replicate,day,offsprings
raga,pdark,light,9,2,99
ev,plight,light,9,3,98
ev,plight,light,9,2,94
raga,pdark,light,9,3,90
raga,pdark,light,9,3,87
raga,plight,dark,9,3,83
raga,plight,light,9,2,81
ev,pdark,light,9,3,58
raga,pdark,light,9,2,49
raga,pdark,dark,9,2,48
ev,pdark,light,9,4,46
raga,plight,dark,9,3,43
raga,pdark,dark,9,3,39
raga,plight,dark,9,2,34
raga,pdark,dark,9,1,32
raga,plight,dark,9,1,28
ev,pdark,light,9,2,26
ev,plight,dark,9,3,24
ev,pdark,dark,9,3,24
ev,pdark,dark,9,3,21
ev,pdark,dark,9,1,20
raga,plight,dark,9,4,19
ev,pdark,light,9,1,17
raga,plight,dark,9,5,15
ev,pdark,dark,9,1,15
raga,pdark,light,9,4,14
raga,plight,dark,9,6,12
raga,pdark,dark,9,4,12
ev,plight,dark,9,1,10
ev,plight,light,8,5,NA
raga,plight,light,8,1,NA
raga,plight,light,8,2,NA
raga,plight,light,8,3,NA
raga,plight,light,8,4,NA
raga,plight,light,8,5,NA
raga,plight,light,8,6,NA
ev,pdark,dark,8,6,NA
ev,pdark,light,8,6,NA
raga,pdark,dark,8,6,NA
raga,pdark,light,8,6,NA
ev,plight,dark,8,6,NA
ev,plight,light,8,6,NA
raga,plight,dark,8,6,NA
raga,plight,light,8,6,NA
ev,pdark,dark,8,2,187
ev,plight,dark,8,2,151
ev,pdark,dark,8,3,151
raga,plight,dark,8,2,143
raga,pdark,dark,8,2,141
raga,pdark,dark,8,3,131
raga,plight,dark,8,3,114
raga,plight,dark,8,2,112
ev,plight,light,8,3,109
ev,plight,dark,8,2,106
raga,pdark,light,8,3,105
raga,pdark,light,8,3,100
raga,pdark,light,8,2,95
raga,plight,light,8,3,92
ev,pdark,light,8,3,89
ev,pdark,light,8,2,84
ev,plight,light,8,2,83
raga,plight,light,8,2,81
raga,pdark,dark,8,3,80
ev,pdark,dark,8,3,70
ev,pdark,light,8,3,66
raga,pdark,dark,8,2,59
ev,plight,light,8,4,57
ev,plight,dark,8,3,53
raga,plight,dark,8,3,53
ev,pdark,dark,8,2,50
ev,pdark,light,8,2,43
ev,pdark,dark,8,1,39
raga,pdark,light,8,2,37
raga,plight,dark,8,1,32
ev,plight,light,8,3,30
ev,plight,dark,8,1,22
ev,plight,light,8,4,19
ev,plight,dark,8,1,18
raga,pdark,light,8,4,16
raga,plight,light,8,4,16
raga,pdark,dark,7,4,NA
raga,pdark,dark,7,5,NA
ev,pdark,dark,7,6,NA
ev,pdark,light,7,6,NA
raga,pdark,dark,7,6,NA
raga,pdark,light,7,6,NA
ev,plight,dark,7,6,NA
ev,plight,light,7,6,NA
raga,plight,dark,7,6,NA
raga,plight,light,7,6,NA
raga,pdark,dark,7,2,178
ev,pdark,dark,7,2,166
ev,pdark,dark,7,3,140
ev,plight,dark,7,3,138
ev,plight,dark,7,2,137
raga,plight,dark,7,3,124
ev,pdark,dark,7,2,116
ev,pdark,light,7,3,115
raga,pdark,light,7,2,107
ev,pdark,light,7,2,105
raga,plight,light,7,3,103
raga,pdark,dark,7,2,100
raga,pdark,light,7,3,99
ev,plight,light,7,2,98
ev,plight,light,7,3,95
raga,plight,dark,7,3,95
raga,pdark,light,7,3,88
raga,pdark,dark,7,3,77
raga,plight,light,7,3,77
ev,pdark,light,7,2,75
raga,plight,light,7,2,66
ev,plight,dark,7,2,63
ev,pdark,light,7,3,60
raga,plight,light,7,2,58
raga,plight,dark,7,4,57
ev,plight,dark,7,3,56
raga,plight,dark,7,2,55
raga,pdark,light,7,4,48
ev,plight,light,7,3,38
ev,plight,light,7,4,35
raga,plight,dark,7,2,34
raga,pdark,dark,7,1,31
ev,plight,light,7,2,26
raga,pdark,light,7,2,21
